productname,size,newprice,oldprice,link
Meggle Feine Butter 250g,250g,"1,05","3,49",https://www.goflink.com//de-DE/shop/product/meggle-feine-butter-250g-11013656/
Meggle Kräuterbutter 5x20g,5x20g,"2,39",0,https://www.goflink.com//de-DE/shop/product/meggle-krauterbutter-5x20g-11013558/
Paysan Breton Butter m. Meersalz 250g,250g,"1,02","3,39",https://www.goflink.com//de-DE/shop/product/payson-breton-butter-m-meersalz-250g-11015218/
Premium Trüffelbutter 95g,95g,"3,00","9,99",https://www.goflink.com//de-DE/shop/product/premium-truffelbutter-95g-11015217/
REWE Bio Süßrahmbutter 250g,250g,"2,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-sussrahmbutter-250g-11013012/
Rama Culinesse Flüssig 500ml,500ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/rama-culinesse-flussig-500ml-11017624/
Schwarzwaldmilch Freiburg Sauerrahmbutter 250g,250g,"3,69",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-freiburg-sauerrahmbutter-250g-11013460/
Violife Vioblock Vegan 250g,250g,"2,29",0,https://www.goflink.com//de-DE/shop/product/violife-vioblock-vegan-250g-11015113/
Alpro Caffe Mandel 235ml,235ml,"1,22","1,79",https://www.goflink.com//de-DE/shop/product/alpro-caffe-mandel-235ml-11014579/
Alpro Caffe Soya Karamel 235 ml,ml,"1,22","1,79",https://www.goflink.com//de-DE/shop/product/alpro-caffee-soya-karamel-235-ml-11014232/
Andechser Bio Lassi Mango 250g,250g,"1,59",0,https://www.goflink.com//de-DE/shop/product/andechser-bio-lassi-mango-250g-11010532/
Andechser Natur Bio Kefir 1.5% Fett. 500g,500g,"1,39",0,https://www.goflink.com//de-DE/shop/product/andechser-bio-kefir-1-5-500g-11010515/
Ayran Mango 250ml,250ml,"0,69",0,https://www.goflink.com//de-DE/shop/product/ayran-mango-250ml-11013514/
Chiefs Protein Milk Drink Choco Mountain 330ml,330ml,"2,39",0,https://www.goflink.com//de-DE/shop/product/chiefs-protein-milk-drink-choco-mountain-330ml-11015908/
Chiefs Protein Milk Drink Coffee County 330ml,330ml,"2,39",0,https://www.goflink.com//de-DE/shop/product/chiefs-protein-milk-drink-coffee-county-330ml-11015909/
Chiefs Protein Milk Drink Strawberry 330ml,330ml,"2,39",0,https://www.goflink.com//de-DE/shop/product/chiefs-protein-milk-drink-strawberry-330ml-11015910/
Chiefs Protein Milk Drink Vanilla Drive 330 ml,ml,"2,39",0,https://www.goflink.com//de-DE/shop/product/chiefs-protein-milk-drink-vanilla-drive-330-ml-11016641/
Chocomel Kakao Cup 230ml,230ml,"1,59",0,https://www.goflink.com//de-DE/shop/product/chocomel-kakao-cup-230ml-11017254/
Chocomel Kakaodrink 1l,1l,"1,89",0,https://www.goflink.com//de-DE/shop/product/chocomel-kakaodrink-1l-11013465/
Danone Actimel Drink Pur 8x100g,8x100g,"3,49",0,https://www.goflink.com//de-DE/shop/product/danone-actimel-drink-pur-8x100g-11010539/
Emmi Caffe Latte Cappuccino 230ml,230ml,"1,89",0,https://www.goflink.com//de-DE/shop/product/emmi-caffe-latte-cappuccino-230ml-11014230/
Emmi Caffe Latte Doubl. Zero Macch. 230ml,230ml,"1,89",0,https://www.goflink.com//de-DE/shop/product/emmi-caffe-latte-doubl-zero-macch-230ml-11017257/
Emmi Caffe Latte Vanille 230ml,230ml,"1,89",0,https://www.goflink.com//de-DE/shop/product/emmi-caffe-latte-vanille-230ml-11017258/
Emmi Caffé Latte Macchiato 0.23l,"0,23l","1,89",0,https://www.goflink.com//de-DE/shop/product/emmi-caffe-latte-macchiato-230ml-11013126/
Gazi Ayran 250ml,250ml,"0,79",0,https://www.goflink.com//de-DE/shop/product/gazi-ayran-250ml-11013517/
Koerfez Ayran Türk. Joghurt 0.5l,"0,5l","0,79",0,https://www.goflink.com//de-DE/shop/product/koerfez-ayran-turk-joghurt-0-5l-11014227/
Mövenpick Caffe Espresso 189ml,189ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/movenpick-caffe-espresso-191ml-11014228/
Mövenpick Caffe Macchiato 190ml,190ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/movenpick-caffe-macchiato-191ml-11014229/
Müller Reine Buttermilch Flasche 500g,500g,"0,99",0,https://www.goflink.com//de-DE/shop/product/muller-reine-buttermilch-flasche-500g-11010195/
Müllermilch Erdbeere 400ml,400ml,"1,29",0,https://www.goflink.com//de-DE/shop/product/mullermilch-erdbeer-400ml-11010196/
Müllermilch Schoko 400ml,400ml,"1,29",0,https://www.goflink.com//de-DE/shop/product/mullermilch-schoko-400ml-11010197/
Schwarzwaldmilch Protein Caffee Latte 250ml,250ml,"1,49",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-caffee-latte-250ml-11015904/
Schwarzwaldmilch Protein Schoko 250ml,250ml,"1,49",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-schoko-250ml-11015902/
Starbucks Caffé Latte 0.22l,"0,22l","1,99",0,https://www.goflink.com//de-DE/shop/product/starbucks-caffe-latte-220ml-11011168/
Starbucks Discoveries Mac. Caramel 220ml,220ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/starbucks-discoveries-mac-caramel-220ml-11014231/
Starbucks Doubleshot Espresso 0.2l,"0,2l","1,99",0,https://www.goflink.com//de-DE/shop/product/starbucks-doubleshot-200ml-11011167/
yfood Drink Classic Choco 500ml,500ml,"3,79",0,https://www.goflink.com//de-DE/shop/product/yfood-drink-alpine-choco-500ml-11012744/
yfood Drink Fresh Berry 500ml,500ml,"3,79",0,https://www.goflink.com//de-DE/shop/product/yfood-drink-fresh-berry-500ml-11012745/
yfood Drink Smooth Vanilla 500ml,500ml,"3,79",0,https://www.goflink.com//de-DE/shop/product/yfood-drink-smooth-vanilla-500ml-11012743/
Alpro Barista Kokosdrink 1l,1l,"2,89",0,https://www.goflink.com//de-DE/shop/product/alpro-barista-kokosdrink-1l-11015806/
Alpro Bio Soyadrink 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-bio-soyadrink-1l-11010200/
Alpro Cashew Drink 1l,1l,"0,78","2,59",https://www.goflink.com//de-DE/shop/product/alpro-cashew-drink-1l-11015283/
Alpro Haferdrink Barista 1l,1l,"2,29",0,https://www.goflink.com//de-DE/shop/product/alpro-hafer-barista-drink-1l-11010204/
Alpro Haferdrink Ungesüßt 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-haferdrink-ungesusst-1l-11010203/
Alpro Haselnuss Drink 1l,1l,"1,44","2,89",https://www.goflink.com//de-DE/shop/product/alpro-haselnuss-drink-1l-11015282/
Alpro Mandeldrink 1l,1l,"0,87","2,89",https://www.goflink.com//de-DE/shop/product/alpro-mandel-drink-1l-11010201/
Alpro Mandeldrink Ungesüßt Geröstet 1l,1l,"2,89",0,https://www.goflink.com//de-DE/shop/product/de-alpro-mandeldrink-ungesusst-gerostet-1l-11010202/
Alpro Sojadrink Vanille 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-sojadrink-vanille-1l-11013463/
Alpro This is not mlk Haferdrink 1.8% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-1-8-1l-11013646/
Alpro This is not mlk Haferdrink 3.5% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-3-5-1l-11013647/
Oatly Haferdrink Barista 1l,1l,"2,29",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-barista-1l-11010205/
Oatly Haferdrink Calcium 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-calcium-1l-11010206/
Oatly Haferdrink Chocolate,Chocolate,"2,29",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-chocolate-11015190/
Oatly Organic Haferdrink Classic Bio 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-classic-bio-1l-11010207/
vly Milchalternative Barista aus Erbsenprotein 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/vly-milchalternative-barista-aus-erbsenprotein-1l-11012751/
vly Milchalternative Ungesüsst aus Erbsenprotein 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/vly-milchalternative-ungesusst-aus-erbsenprotein-1l-11012752/
