productname,size,newprice,oldprice,link
Martini Bianco 14.4% vol. 0.75l,"0,75l","8,39",0,https://www.goflink.com//de-DE/shop/product/martini-bianco-14-4-750ml-11013250/
Martini Fiero 14.4% vol. 0.75l,"0,75l","2,52","8,39",https://www.goflink.com//de-DE/shop/product/martini-fiero-14-4-750ml-11013251/
Bacardi Carta Blanca 37.5% vol. 0.7l,"0,7l","15,69",0,https://www.goflink.com//de-DE/shop/product/bacardi-carta-bl-37-5-0-7l-11010025/
Bacardi Razz 32% vol. 0.7l,"0,7l","14,49",0,https://www.goflink.com//de-DE/shop/product/bacardi-razz-32-vol-0-7l-11017627/
Bacardi Spiced 35% vol. 0.7l,"0,7l","15,69",0,https://www.goflink.com//de-DE/shop/product/bacardi-oakheart-35-700ml-11013266/
Botucal Reserva Exclusiva 40% vol. 0.7l,"0,7l","41,99",0,https://www.goflink.com//de-DE/shop/product/botucal-reserva-exclusiva-40-0-7l-11012374/
Captain Morgan Spiced Gold Rum Based Spirit 35% vol. 0.7l,"0,7l","12,99",0,https://www.goflink.com//de-DE/shop/product/captain-morgan-spiced-gold-35-0-7l-11012636/
Don Papa Baroko 40% vol. 0.7l,"0,7l","36,99",0,https://www.goflink.com//de-DE/shop/product/don-papa-baroko-40-0-70-l-11016015/
Havana Club 3 Years 40% vol. 0.7l,"0,7l","14,29",0,https://www.goflink.com//de-DE/shop/product/havana-club-3-years-40-0-7l-11010024/
Havana Club Anejo 7Y 40% vol. 0.7l,"0,7l","26,99",0,https://www.goflink.com//de-DE/shop/product/havana-club-anejo-7y-40-0-7l-11012378/
Havana Club Anejo Especial 0.7l,"0,7l","15,29",0,https://www.goflink.com//de-DE/shop/product/havana-club-anejo-especial-0-7l-11014510/
Havana Club Verde 35% vol. 0.7l,"0,7l","6,99","13,99",https://www.goflink.com//de-DE/shop/product/havana-club-verde-0-7l-11013801/
Kraken Black Spiced Rum 40% vol. 0.7l,"0,7l","18,19","25,99",https://www.goflink.com//de-DE/shop/product/kraken-black-spiced-rum-47-700ml-11013267/
Pitu Cachaca 38% vol. 0.7l,"0,7l","12,59",0,https://www.goflink.com//de-DE/shop/product/pitu-cachaca-38-0-7l-11012030/
Remedy Spiced Rum 41.5%  0.7l,"0,7l","19,99",0,https://www.goflink.com//de-DE/shop/product/remedy-spiced-rum-41-5-0-70l-11017028/
Ron Zacapa Centenario 23Y 40% vol. 0.7l,"0,7l","24,99","49,99",https://www.goflink.com//de-DE/shop/product/ron-zacapa-centenario-23y-40-0-7l-11012371/
Alde Gott Haselnuss Spirituose 40% vol. 0.5l,"0,5l","14,99",0,https://www.goflink.com//de-DE/shop/product/alde-gott-haselnuss-spirituose-40-vol-0-5l-11015820/
Alde Gott Williams Birnenbrand 3 Jahre gereift 42% vol. 0.5l,"0,5l","14,99",0,https://www.goflink.com//de-DE/shop/product/alde-gott-williams-birnenbrand-3-jahre-gereift-42-vol-0-5l-11015821/
Corralejo Tequila Reposado 38% 0.7l,"0,7l","29,99",0,https://www.goflink.com//de-DE/shop/product/corralejo-tequila-reposado-38-0-70l-11017027/
Flimm Waldmeister 11 17% vol. 1l,1l,"9,99",0,https://www.goflink.com//de-DE/shop/product/flimm-waldmeister-11-17-vol-1l-11014527/
Molinari Sambuca 40% vol. 0.7l,"0,7l","10,98","15,69",https://www.goflink.com//de-DE/shop/product/molinari-sambuca-40-700ml-11013263/
Nordhäuser Doppelkorn 38% vol. 0.7l,"0,7l","2,52","8,39",https://www.goflink.com//de-DE/shop/product/nordhauser-doppelkorn-38-0-7l-11010033/
Oldesloer Weizenkorn 32% vol. 0.7l,"0,7l","6,79",0,https://www.goflink.com//de-DE/shop/product/oldesloer-weizenkorn-32-700ml-11013261/
Ouzo 12 38% vol. 0.7l,"0,7l","11,49",0,https://www.goflink.com//de-DE/shop/product/ouzo-12-38-0-7l-11012516/
Remy Martin VSOP M.C.F. 40% vol. 0.7l,"0,7l","20,99","41,99",https://www.goflink.com//de-DE/shop/product/remy-martin-vsop-m-c-f-40-0-7l-11010019/
Yeni Raki 45% vol. 0.7l,"0,7l","5,40","17,99",https://www.goflink.com//de-DE/shop/product/yeni-raki-45-700ml-11013262/
Ananas Sweet 1 Stk. (Costa Rica),Rica,"1,89",0,https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-costa-rica-1-stk-11010744/
Ananas Sweet 1 Stk. (Ecuador),Ecuador,"1,89",0,https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-ecuador-11012862/
Ananas Sweet 1 Stk. (Ghana),Ghana,"1,89",0,https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-ghana-11012863/
Bio Himbeeren 125g (Marokko),Marokko,"3,99",0,https://www.goflink.com//de-DE/shop/product/bio-himbeeren-125g-marokko-11016466/
Bio Himbeeren 125g (Portugal),Portugal,"3,99",0,https://www.goflink.com//de-DE/shop/product/bio-himbeeren-125g-portugal-11016467/
Bio Himbeeren 125g (Regional. Deutschland),Deutschland,"3,99",0,https://www.goflink.com//de-DE/shop/product/bio-himbeeren-125g-regional-deutschland-11012397/
Bio Himbeeren 125g (Spanien),Spanien,"3,99",0,https://www.goflink.com//de-DE/shop/product/bio-himbeeren-125g-kl-i-spanien-11011531/
Bio Limetten 5 Stk. (Kolumbien),Kolumbien,"1,99",0,https://www.goflink.com//de-DE/shop/product/bio-limetten-5er-pack-kl-i-kolumbien-11011620/
Coca Cola 0.33l,"0,33l","0,99",0,https://www.goflink.com//de-DE/shop/product/coca-cola-0-33l-11012024/
Gurke Mini 1 Stk. (Spanien),Spanien,"0,59",0,https://www.goflink.com//de-DE/shop/product/gurke-mini-1-stk-spanien-11014379/
Happy Day Maracuja Passionfruit 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/happy-day-maracuja-passionfruit-1l-11013273/
Himbeeren 100g (Niederlande),Niederlande,"2,49",0,https://www.goflink.com//de-DE/shop/product/himbeeren-100g-niederlande-11016471/
Himbeeren 100g (Portugal),Portugal,"2,49",0,https://www.goflink.com//de-DE/shop/product/himbeeren-100g-portugal-11016472/
Himbeeren 125g (Marokko),Marokko,"1,39","1,99",https://www.goflink.com//de-DE/shop/product/himbeeren-125g-kl-i-deutschland-11010747/
Himbeeren 125g (Niederlande),Niederlande,"1,39","1,99",https://www.goflink.com//de-DE/shop/product/himbeeren-125g-niederlande-11013179/
Himbeeren 125g (Portugal),Portugal,"1,39","1,99",https://www.goflink.com//de-DE/shop/product/himbeeren-125g-portugal-11012905/
Himbeeren 250g (Marokko),Marokko,"3,99",0,https://www.goflink.com//de-DE/shop/product/himbeeren-250g-marokko-11016469/
Hitchcock Zitronensaft 0.2l,"0,2l","1,39",0,https://www.goflink.com//de-DE/shop/product/hitchcock-zitronensaft-200ml-11010328/
Hohes C Orange 1l,1l,"1,79",0,https://www.goflink.com//de-DE/shop/product/hohes-c-orange-1l-11010330/
Ice Age Eiswürfel 2kg,2kg,"1,99",0,https://www.goflink.com//de-DE/shop/product/ice-age-eiswurfel-2kg-11011003/
Limette 1 Stk. (Brasilien),Brasilien,"0,49",0,https://www.goflink.com//de-DE/shop/product/limetten-kl-i-brasilien-1-stk-11011383/
Limette 1 Stk. (Kolumbien),Kolumbien,"0,49",0,https://www.goflink.com//de-DE/shop/product/limetten-kolumbien-11013986/
Limette 1 Stk. (Vietnam),Vietnam,"0,49",0,https://www.goflink.com//de-DE/shop/product/limetten-1-stk-vietnam-11016310/
Limette Bio 1 Stk. Kl. II (Kolumbien),Kolumbien,"0,59",0,https://www.goflink.com//de-DE/shop/product/bio-limetten-1-stk-kl-ii-kolumbien-11012393/
Limetten 1 Stk (Französisch-Polynesien),Französisch-Polynesien,"0,49",0,https://www.goflink.com//de-DE/shop/product/limetten-1-stk-franzosisch-polynesien-11012881/
Limetten 1 Stk (Mexiko),Mexiko,"0,49",0,https://www.goflink.com//de-DE/shop/product/limetten-1-stk-mexiko-11012880/
Limetten 4er Pack (Mexiko),Mexiko,"1,49",0,https://www.goflink.com//de-DE/shop/product/limetten-4er-pack-mexiko-11016545/
Limetten Kl.I 5 Stk. (Brasilien),Brasilien,"1,99",0,https://www.goflink.com//de-DE/shop/product/limetten-5er-pack-kl-i-brasilien-11010741/
Minze 15g (Deutschland),Deutschland,"0,99",0,https://www.goflink.com//de-DE/shop/product/minze-15g-deutschland-11016512/
Minze 15g (Israel),Israel,"0,99",0,https://www.goflink.com//de-DE/shop/product/minze-15g-israel-11016514/
Minze 15g (Italien),Italien,"0,99",0,https://www.goflink.com//de-DE/shop/product/minze-15g-italien-11016515/
Minze 15g (Marokko),Marokko,"0,99",0,https://www.goflink.com//de-DE/shop/product/minze-15g-marokko-11016516/
Minze 15g (Spanien),Spanien,"0,99",0,https://www.goflink.com//de-DE/shop/product/minze-15g-spanien-11016513/
REWE Beste Wahl Kokosmilch cremig 400ml,400ml,"1,49",0,https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-kokosmilch-cremig-400ml-11017318/
REWE Bio Kokosmilch 400ml,400ml,"1,27","1,59",https://www.goflink.com//de-DE/shop/product/rewe-bio-kokosmilch-400ml-11013160/
REWE Bio Rohrohrzucker 500g,500g,"2,29",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-rohrohrzucker-500g-11015089/
REWE Feine Welt Fleur de Sel 130g,130g,"2,99",0,https://www.goflink.com//de-DE/shop/product/rewe-feine-welt-fleur-de-sel-130g-11015428/
Schweppes Bitter Lemon 0.2l,"0,2l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/schweppes-bitter-lemon-0-2l-11010350/
Schweppes Ginger Ale 0.2l,"0,2l","0,44","0,89",https://www.goflink.com//de-DE/shop/product/schweppes-ginger-ale-0-2l-11010351/
Schweppes Ginger Beer 1.25l,"1,25l","1,89",0,https://www.goflink.com//de-DE/shop/product/schweppes-ginger-beer-11012439/
Schweppes Russian Wildberry 0.2l,"0,2l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/schweppes-wild-berry-0-2l-11010353/
Schweppes Tonic Water 0.2l,"0,2l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/schweppes-tonic-water-0-2l-11010352/
Schweppes Tonic Zero 1.25l,"1,25l","1,89",0,https://www.goflink.com//de-DE/shop/product/schweppes-tonic-zero-1-25l-11010349/
Sweet Family Feiner Zucker 1kg,1kg,"1,39",0,https://www.goflink.com//de-DE/shop/product/sweet-family-feiner-zucker-1kg-11011282/
