productname,size,newprice,oldprice,link
De Cecco Casareccia 500g,500g,"2,15","2,69",https://www.goflink.com//de-DE/shop/product/de-cecco-casareccia-500g-11010767/
De Cecco Penne Rigate 500g,500g,"0,81","2,69",https://www.goflink.com//de-DE/shop/product/de-cecco-penne-rigate-500g-11010764/
Deli Genuss Oliven mit Weißem Käse 165g,165g,"0,75","2,50",https://www.goflink.com//de-DE/shop/product/deli-oliven-mit-weissem-kase-165g-11015541/
Deli Oliven mit Knoblauch 165g,165g,"0,75","2,50",https://www.goflink.com//de-DE/shop/product/deli-oliven-mit-knoblauch-165g-11015534/
Diebels Altbier 0.33l,"0,33l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/diebels-altbier-330ml-11011631/
Dinzler Bio Espressokapseln Peru 10 Kapseln,Kapseln,"2,40","8,00",https://www.goflink.com//de-DE/shop/product/dinzler-bio-espressokapseln-peru-10-kapseln-11015178/
Dirtea Candy Eistee Dose 0.5l,"0,5l","0,42","1,39",https://www.goflink.com//de-DE/shop/product/dirtea-candy-shop-eistee-05l-11013849/
Dr. Oetker Backfeste Puddingcreme 40g,40g,"0,27","0,89",https://www.goflink.com//de-DE/shop/product/dr-oetker-backfeste-puddingcreme-40g-11015336/
Dr. Oetker Backmischung Käsekuchen 600g,600g,"0,78","2,59",https://www.goflink.com//de-DE/shop/product/dr-oetker-kasekuchen-600g-11010119/
Dr. Oetker Bourbon Vanille Paste 50g,50g,"1,20","3,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-bourbon-vanille-paste-50g-11015081/
Dr. Oetker Bourbon Vanille-Extrakt 35ml,35ml,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-bourbon-vanille-extrakt-35ml-11013140/
Dr. Oetker Butter-Vanille-Aroma 4er Pack,Pack,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-butter-vanille-aroma-4er-pack-11015249/
Dr. Oetker Cheesecake American Style Lemon 355g,355g,"1,20","3,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-cheesecake-american-style-lemon-355g-11015338/
Dr. Oetker Finesse Geriebene Zitronenschale 18g,18g,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-finesse-geriebene-zitronenschale-18g-11015250/
Dr. Oetker Haselnüsse gemahlen 100g,100g,"0,87","2,89",https://www.goflink.com//de-DE/shop/product/dr-oetker-haselnusse-gemahlen-100g-11015251/
Dr. Oetker Kuvertüre Vollmilch 150g,150g,"0,60","1,99",https://www.goflink.com//de-DE/shop/product/dr-oetker-kuverture-vollmilch-150g-11011858/
